19:24:26.623 INFO  manager.ApplicationManager - All test start in ChromeDriver
19:24:28.328 INFO  manager.ApplicationManager - The link is --> https://contacts-app.tobbymarshall815.vercel.app/home
19:24:28.472 INFO  tests.TestBase - Start test -->addNewContactSuccessDataProviderCSV
19:24:28.475 INFO  manager.MyListener - 'Start find' element --> By.xpath: //button[text()='Sign Out']
19:24:38.573 INFO  manager.MyListener - The element with locator --> By.xpath: //button[text()='Sign Out'] <-- was found
19:24:38.576 INFO  manager.MyListener - 'Start find' element --> By.cssSelector: [href='/login']
19:24:38.606 INFO  manager.MyListener - The element with locator --> By.cssSelector: [href='/login'] <-- was found
19:24:38.695 INFO  manager.MyListener - 'Start find' element --> By.xpath: //input[1]
19:24:38.721 INFO  manager.MyListener - The element with locator --> By.xpath: //input[1] <-- was found
19:24:38.873 INFO  manager.MyListener - 'Start find' element --> By.xpath: //input[2]
19:24:38.909 INFO  manager.MyListener - The element with locator --> By.xpath: //input[2] <-- was found
19:24:39.046 INFO  manager.MyListener - 'Start find' element --> By.xpath: //*[text()=' Login']
19:24:39.073 INFO  manager.MyListener - The element with locator --> By.xpath: //*[text()=' Login'] <-- was found
19:24:39.149 INFO  manager.MyListener - 'Start find' element --> By.cssSelector: [href='/add']
19:24:39.851 INFO  manager.MyListener - The element with locator --> By.cssSelector: [href='/add'] <-- was found
19:24:39.915 INFO  manager.MyListener - 'Start find' element --> By.cssSelector: [placeholder='Name']
19:24:39.953 INFO  manager.MyListener - The element with locator --> By.cssSelector: [placeholder='Name'] <-- was found
19:24:40.084 INFO  manager.MyListener - 'Start find' element --> By.cssSelector: [placeholder='Last Name']
19:24:40.101 INFO  manager.MyListener - The element with locator --> By.cssSelector: [placeholder='Last Name'] <-- was found
19:24:40.225 INFO  manager.MyListener - 'Start find' element --> By.cssSelector: [placeholder='Phone']
19:24:40.241 INFO  manager.MyListener - The element with locator --> By.cssSelector: [placeholder='Phone'] <-- was found
19:24:40.379 INFO  manager.MyListener - 'Start find' element --> By.cssSelector: [placeholder='email']
19:24:40.410 INFO  manager.MyListener - The element with locator --> By.cssSelector: [placeholder='email'] <-- was found
19:24:40.536 INFO  manager.MyListener - 'Start find' element --> By.cssSelector: [placeholder='Address']
19:24:40.553 INFO  manager.MyListener - The element with locator --> By.cssSelector: [placeholder='Address'] <-- was found
19:24:40.667 INFO  manager.MyListener - 'Start find' element --> By.cssSelector: [placeholder='description']
19:24:40.701 INFO  manager.MyListener - The element with locator --> By.cssSelector: [placeholder='description'] <-- was found
19:24:40.816 INFO  manager.MyListener - 'Start find' element --> By.cssSelector: [placeholder='description']
19:24:40.844 INFO  manager.MyListener - The element with locator --> By.cssSelector: [placeholder='description'] <-- was found
