19:28:06.955 INFO  manager.ApplicationManager - All test start in ChromeDriver
19:28:07.827 INFO  manager.ApplicationManager - The link is --> https://contacts-app.tobbymarshall815.vercel.app/home
19:28:07.895 INFO  tests.TestBase - Start test -->addNewContactSuccessDataProviderCSV
19:28:07.898 INFO  manager.MyListener - 'Start find' element --> By.xpath: //button[text()='Sign Out']
19:28:17.979 INFO  manager.MyListener - The element with locator --> By.xpath: //button[text()='Sign Out'] <-- was found
19:28:17.981 INFO  manager.MyListener - 'Start find' element --> By.cssSelector: [href='/login']
19:28:18.008 INFO  manager.MyListener - The element with locator --> By.cssSelector: [href='/login'] <-- was found
19:28:18.106 INFO  manager.MyListener - 'Start find' element --> By.xpath: //input[1]
19:28:18.131 INFO  manager.MyListener - The element with locator --> By.xpath: //input[1] <-- was found
19:28:18.269 INFO  manager.MyListener - 'Start find' element --> By.xpath: //input[2]
19:28:18.287 INFO  manager.MyListener - The element with locator --> By.xpath: //input[2] <-- was found
19:28:18.418 INFO  manager.MyListener - 'Start find' element --> By.xpath: //*[text()=' Login']
19:28:18.442 INFO  manager.MyListener - The element with locator --> By.xpath: //*[text()=' Login'] <-- was found
19:28:18.522 INFO  manager.MyListener - 'Start find' element --> By.cssSelector: [href='/add']
19:28:19.230 INFO  manager.MyListener - The element with locator --> By.cssSelector: [href='/add'] <-- was found
19:28:19.285 INFO  manager.MyListener - 'Start find' element --> By.cssSelector: [placeholder='Name']
19:28:19.313 INFO  manager.MyListener - The element with locator --> By.cssSelector: [placeholder='Name'] <-- was found
19:28:19.439 INFO  manager.MyListener - 'Start find' element --> By.cssSelector: [placeholder='Last Name']
19:28:19.450 INFO  manager.MyListener - The element with locator --> By.cssSelector: [placeholder='Last Name'] <-- was found
19:28:19.557 INFO  manager.MyListener - 'Start find' element --> By.cssSelector: [placeholder='Phone']
19:28:19.573 INFO  manager.MyListener - The element with locator --> By.cssSelector: [placeholder='Phone'] <-- was found
19:28:19.692 INFO  manager.MyListener - 'Start find' element --> By.cssSelector: [placeholder='email']
19:28:19.714 INFO  manager.MyListener - The element with locator --> By.cssSelector: [placeholder='email'] <-- was found
19:28:19.860 INFO  manager.MyListener - 'Start find' element --> By.cssSelector: [placeholder='Address']
19:28:19.886 INFO  manager.MyListener - The element with locator --> By.cssSelector: [placeholder='Address'] <-- was found
19:28:20.014 INFO  manager.MyListener - 'Start find' element --> By.cssSelector: [placeholder='description']
19:28:20.043 INFO  manager.MyListener - The element with locator --> By.cssSelector: [placeholder='description'] <-- was found
19:28:20.161 INFO  manager.MyListener - 'Start find' element --> By.cssSelector: [placeholder='description']
19:28:20.180 INFO  manager.MyListener - The element with locator --> By.cssSelector: [placeholder='description'] <-- was found
19:28:20.238 INFO  manager.MyListener - 'Start find' element --> By.cssSelector: b
19:28:20.261 INFO  manager.MyListener - The element with locator --> By.cssSelector: b <-- was found
19:28:20.294 INFO  manager.MyListener - 'Start find' element --> By.cssSelector: h2
19:28:20.647 INFO  manager.MyListener - The element with locator --> By.cssSelector: h2 <-- was found
19:28:20.682 INFO  manager.MyListener - 'Start find' element --> By.cssSelector: h3
19:28:20.699 INFO  manager.MyListener - The element with locator --> By.cssSelector: h3 <-- was found
19:28:20.763 INFO  tests.TestBase - Start test -->addNewContactSuccessDataProviderCSV
19:28:20.765 INFO  manager.MyListener - 'Start find' element --> By.xpath: //button[text()='Sign Out']
19:28:20.785 INFO  manager.MyListener - The element with locator --> By.xpath: //button[text()='Sign Out'] <-- was found
19:28:20.785 INFO  manager.MyListener - 'Start find' element --> By.cssSelector: [href='/add']
19:28:20.799 INFO  manager.MyListener - The element with locator --> By.cssSelector: [href='/add'] <-- was found
19:28:20.841 INFO  manager.MyListener - 'Start find' element --> By.cssSelector: [placeholder='Name']
19:28:20.862 INFO  manager.MyListener - The element with locator --> By.cssSelector: [placeholder='Name'] <-- was found
19:28:20.977 INFO  manager.MyListener - 'Start find' element --> By.cssSelector: [placeholder='Last Name']
19:28:21.002 INFO  manager.MyListener - The element with locator --> By.cssSelector: [placeholder='Last Name'] <-- was found
19:28:21.114 INFO  manager.MyListener - 'Start find' element --> By.cssSelector: [placeholder='Phone']
19:28:21.128 INFO  manager.MyListener - The element with locator --> By.cssSelector: [placeholder='Phone'] <-- was found
19:28:21.252 INFO  manager.MyListener - 'Start find' element --> By.cssSelector: [placeholder='email']
19:28:21.263 INFO  manager.MyListener - The element with locator --> By.cssSelector: [placeholder='email'] <-- was found
19:28:21.400 INFO  manager.MyListener - 'Start find' element --> By.cssSelector: [placeholder='Address']
19:28:21.421 INFO  manager.MyListener - The element with locator --> By.cssSelector: [placeholder='Address'] <-- was found
19:28:21.531 INFO  manager.MyListener - 'Start find' element --> By.cssSelector: [placeholder='description']
19:28:21.557 INFO  manager.MyListener - The element with locator --> By.cssSelector: [placeholder='description'] <-- was found
19:28:21.694 INFO  manager.MyListener - 'Start find' element --> By.cssSelector: [placeholder='description']
19:28:21.711 INFO  manager.MyListener - The element with locator --> By.cssSelector: [placeholder='description'] <-- was found
19:28:21.736 INFO  manager.MyListener - 'Start find' element --> By.cssSelector: b
19:28:21.772 INFO  manager.MyListener - The element with locator --> By.cssSelector: b <-- was found
19:28:21.806 INFO  manager.MyListener - 'Start find' element --> By.cssSelector: h2
19:28:22.063 INFO  manager.MyListener - The element with locator --> By.cssSelector: h2 <-- was found
19:28:22.101 INFO  manager.MyListener - 'Start find' element --> By.cssSelector: h3
19:28:22.126 INFO  manager.MyListener - The element with locator --> By.cssSelector: h3 <-- was found
19:28:22.204 INFO  tests.TestBase - Start test -->addNewContactSuccessDataProviderCSV
19:28:22.205 INFO  manager.MyListener - 'Start find' element --> By.xpath: //button[text()='Sign Out']
19:28:22.222 INFO  manager.MyListener - The element with locator --> By.xpath: //button[text()='Sign Out'] <-- was found
19:28:22.223 INFO  manager.MyListener - 'Start find' element --> By.cssSelector: [href='/add']
19:28:22.233 INFO  manager.MyListener - The element with locator --> By.cssSelector: [href='/add'] <-- was found
19:28:22.271 INFO  manager.MyListener - 'Start find' element --> By.cssSelector: [placeholder='Name']
19:28:22.296 INFO  manager.MyListener - The element with locator --> By.cssSelector: [placeholder='Name'] <-- was found
19:28:22.407 INFO  manager.MyListener - 'Start find' element --> By.cssSelector: [placeholder='Last Name']
19:28:22.422 INFO  manager.MyListener - The element with locator --> By.cssSelector: [placeholder='Last Name'] <-- was found
19:28:22.535 INFO  manager.MyListener - 'Start find' element --> By.cssSelector: [placeholder='Phone']
19:28:22.558 INFO  manager.MyListener - The element with locator --> By.cssSelector: [placeholder='Phone'] <-- was found
19:28:22.687 INFO  manager.MyListener - 'Start find' element --> By.cssSelector: [placeholder='email']
